LP.;Nazwa konferencji;Liczba punktów;Przypisane dyscypliny naukowe
405;Health Informatics Conference [HIC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
406;Heterogeneity in Computing Workshop [HCW];70;"informatyka techniczna i telekomunikacja;
informatyka;"
407;High-Performance Grid Computing Workshop (part of IPDPS Conference) [HPGrid];20;"informatyka techniczna i telekomunikacja;
informatyka;"
408;Human System Interaction [HSI];20;"informatyka techniczna i telekomunikacja;
informatyka;"
409;IAVoSS Workshop On Trustworthy Elections [WOTE];20;"informatyka techniczna i telekomunikacja;
informatyka;"
410;IberoAmerican Congress on Pattern Recognition [CIARP];20;"informatyka techniczna i telekomunikacja;
informatyka;"
411;IEEE Automatic Speech Recognition and Understanding Workshop [ASRU];20;"informatyka techniczna i telekomunikacja;
informatyka;"
412;IEEE Bioinformatics and Bioengineering [BIBE];20;"informatyka techniczna i telekomunikacja;
informatyka;"
413;IEEE Computational Systems Bioinformatics Conference [CSB];140;"informatyka techniczna i telekomunikacja;
informatyka;"
414;IEEE Computer Communications Workshop [CCW];70;"informatyka techniczna i telekomunikacja;
informatyka;"
415;IEEE Computer Security Foundations Symposium (was CSFW) [CSF];140;"informatyka techniczna i telekomunikacja;
informatyka;"
416;IEEE Conference on Computational Complexity [CCC];140;"informatyka techniczna i telekomunikacja;
informatyka;"
417;IEEE Conference on Computer Vision and Pattern Recognition [CVPR];200;"informatyka techniczna i telekomunikacja;
informatyka;"
418;IEEE Conference on Decision and Control [CDC];140;"informatyka techniczna i telekomunikacja;
informatyka;"
419;IEEE Conference on Local Computer Networks [LCN];140;"informatyka techniczna i telekomunikacja;
informatyka;"
420;IEEE Conference on Mass Storage Systems and Technologies [MSST];20;"informatyka techniczna i telekomunikacja;
informatyka;"
421;IEEE International Conference on Sensing, Communication and Networking [SECON];70;"informatyka techniczna i telekomunikacja;
informatyka;"
422;IEEE Conference on Systems, Man and Cybernetics [SMC];70;"informatyka techniczna i telekomunikacja;
informatyka;"
423;IEEE Congress on Services [SERVICES];70;"informatyka techniczna i telekomunikacja;
informatyka;"
424;IEEE Consumer Communications and Networking Conference [IEEE CCNC];70;"informatyka techniczna i telekomunikacja;
informatyka;"
425;IEEE European Conference on Web Services [ECOWS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
426;IEEE Global Internet Symposium [GI];20;"informatyka techniczna i telekomunikacja;
informatyka;"
427;IEEE Information Theory Workshop on Detection, Estimation, Classification and Imaging [DECI];20;"informatyka techniczna i telekomunikacja;
informatyka;"
428;IEEE Information Visualization Conference [IEEE InfoVis];200;"informatyka techniczna i telekomunikacja;
informatyka;"
429;IEEE International Augmented Reality Toolkit Workshop [IARTW];20;"informatyka techniczna i telekomunikacja;
informatyka;"
430;IEEE International Conference and Workshop on the Engineering of Computer Based Systems [ECBS];70;"informatyka techniczna i telekomunikacja;
informatyka;"
431;IEEE International Conference on Adaptive and Intelligent Systems [ICAIS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
432;IEEE International Conference on Advanced Learning Technologies [ICALT];70;"informatyka techniczna i telekomunikacja;
informatyka;"
433;IEEE International Conference on Automatic Face and Gesture Recognition [FG];20;"informatyka techniczna i telekomunikacja;
informatyka;"
434;IEEE International Conference on Autonomic Computing [ICAC];70;"informatyka techniczna i telekomunikacja;
informatyka;"
435;IEEE International Conference on Cloud Computing [CLOUD];70;"informatyka techniczna i telekomunikacja;
informatyka;"
436;IEEE International Conference on Cluster Computing [CLUSTER];140;"informatyka techniczna i telekomunikacja;
informatyka;"
437;IEEE International Conference on Cognitive Informatics [ICCI];20;"informatyka techniczna i telekomunikacja;
informatyka;"
438;IEEE International Conference on Communications [ICC];70;"informatyka techniczna i telekomunikacja;
informatyka;"
439;IEEE International Conference on Computational Cybernetics [ICCC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
440;IEEE International Conference on Computational Intelligence for Measurement Systems and Applications [CIMSA];20;"informatyka techniczna i telekomunikacja;
informatyka;"
441;IEEE International Conference on Computer and Information Technology [CIT];20;"informatyka techniczna i telekomunikacja;
informatyka;"
442;IEEE International Conference on Computer Vision [ICCV];200;"informatyka techniczna i telekomunikacja;
informatyka;"
443;IEEE International Conference on Control Applications [CCA];70;"informatyka techniczna i telekomunikacja;
informatyka;"
444;IEEE International Conference on COTS-Based Software Systems [ICCBSS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
445;IEEE International Conference on Cybernetics and Intelligent Systems [CIS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
446;IEEE International Conference on Data Mining [ICDM];200;"informatyka techniczna i telekomunikacja;
informatyka;"
447;IEEE International Conference on Digital EcoSystems and Technologies Conference [IEEE DEST];20;"informatyka techniczna i telekomunikacja;
informatyka;"
448;IEEE International Conference on Distributed Computing in Sensor Systems [DCOSS];70;"informatyka techniczna i telekomunikacja;
informatyka;"
449;IEEE International Conference on e-Business Engineering [ICEBE];70;"informatyka techniczna i telekomunikacja;
informatyka;"
450;IEEE International Conference on Engineering of Complex Computer Systems [ICECCS];140;"informatyka techniczna i telekomunikacja;
informatyka;"
451;IEEE International Conference on Enterprise Computing, E-Commerce and E-Services [EEE];20;"informatyka techniczna i telekomunikacja;
informatyka;"
452;IEEE International Conference on e-Science and Grid Computing [e-Science];140;"informatyka techniczna i telekomunikacja;
informatyka;"
453;IEEE International Conference on Fuzzy Systems [FUZZ-IEEE];140;"informatyka techniczna i telekomunikacja;
informatyka;"
454;IEEE International Conference on Global Software Engineering [ICGSE];20;"informatyka techniczna i telekomunikacja;
informatyka;"
455;IEEE International Conference on Granular Computing [GrC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
456;IEEE International Conference on High Performance Computing and Communications [HPCC];70;"informatyka techniczna i telekomunikacja;
informatyka;"
457;IEEE International Conference on High Performance Computing and Simulation [IEEE HPCS];70;"informatyka techniczna i telekomunikacja;
informatyka;"
458;IEEE International Conference on Image Processing [ICIP];70;"informatyka techniczna i telekomunikacja;
informatyka;"
459;IEEE International Conference on Information and Automation [IEEE ICIA];20;"informatyka techniczna i telekomunikacja;
informatyka;"
460;"IEEE International Conference on Information Reuse and Integration [IRI]
(IEEE International Conference on Information Integration and Reuse [IRI])";20;"informatyka techniczna i telekomunikacja;
informatyka;"
461;IEEE International Conference on Intelligence and Security Informatics [ISI];20;"informatyka techniczna i telekomunikacja;
informatyka;"
462;IEEE International Conference on Intelligence for Homeland Security and Personal Safety [CIHSPS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
463;IEEE International Conference on Intelligent Computer Communication and Processing [ICCP];20;"informatyka techniczna i telekomunikacja;
informatyka;"
464;IEEE International Conference on Intelligent Systems [IEEE IS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
465;IEEE International Conference on Mobile Ad-hoc and Sensor Systems [MASS];70;"informatyka techniczna i telekomunikacja;
informatyka;"
466;IEEE International Conference on Multimedia and Expo [ICME];70;"informatyka techniczna i telekomunikacja;
informatyka;"
467;IEEE International Conference on Networks [ICON];70;"informatyka techniczna i telekomunikacja;
informatyka;"
468;IEEE International Conference on Neural Networks [ICNN];70;"informatyka techniczna i telekomunikacja;
informatyka;"
469;IEEE International Conference on Parallel Processing Workshops [WoPP];20;"informatyka techniczna i telekomunikacja;
informatyka;"
470;IEEE International Conference on Peer to Peer Computing [P2P];20;"informatyka techniczna i telekomunikacja;
informatyka;"
471;IEEE International Conference on Pervasive Computing and Communications [PERCOM];200;"informatyka techniczna i telekomunikacja;
informatyka;"
472;IEEE International Conference on Radio Frequency Identification [IEEE RFID];70;"informatyka techniczna i telekomunikacja;
informatyka;"
473;"IEEE International Conference on Service-Oriented Computing and Applications [SOCA]
(IEEE International Conference on Service-Oriented Computing Applications [SOCA])";20;"informatyka techniczna i telekomunikacja;
informatyka;"
474;IEEE International Conference on Services Computing [SCC];140;"informatyka techniczna i telekomunikacja;
informatyka;"
475;IEEE International Conference on Software Maintenance and Evolution [ICSME];140;"informatyka techniczna i telekomunikacja;
informatyka;"
476;IEEE International Conference on Web Services [ICWS];140;"informatyka techniczna i telekomunikacja;
informatyka;"
477;IEEE International Conference on Wireless and Mobile Computing, Networking and Communications [WiMob];70;"informatyka techniczna i telekomunikacja;
informatyka;"
478;IEEE International Conference on Wireless Information Technology and Systems [ICWITS];70;"informatyka techniczna i telekomunikacja;
informatyka;"
479;IEEE International Enterprise Distributed Object Computing Conference [EDOC];70;"informatyka techniczna i telekomunikacja;
informatyka;"
480;IEEE International Geoscience and Remote Sensing Symposium [IGARSS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
481;IEEE International Joint Conference on Neural Networks [IJCNN];140;"informatyka techniczna i telekomunikacja;
informatyka;"
482;IEEE International Multioptic Conference [INMIC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
483;IEEE International On-Line Testing Symposium [IOLTS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
484;IEEE International Parallel and Distributed Processing Symposium (was IPPS and SPDP) [IPDPS];140;"informatyka techniczna i telekomunikacja;
informatyka;"
485;IEEE International Performance Computing and Communications Conference [IPCCC];70;"informatyka techniczna i telekomunikacja;
informatyka;"
486;IEEE International Requirements Engineering Conference [RE];140;"informatyka techniczna i telekomunikacja;
informatyka;"
487;IEEE International Symposium on a World of Wireless, Mobile and Multimedia Networks [WoWMoM];140;"informatyka techniczna i telekomunikacja;
informatyka;"
488;IEEE International Symposium on Adaptive Dynamic Programming and Reinforcement Learning [IEEE ADPRL];20;"informatyka techniczna i telekomunikacja;
informatyka;"
489;IEEE International Symposium on Artificial Life [IEEE Alife];140;"informatyka techniczna i telekomunikacja;
informatyka;"
490;IEEE International Symposium on Cluster, Cloud and Grid Computing [CCGRID];140;"informatyka techniczna i telekomunikacja;
informatyka;"
491;International Symposium on Distributed Simulation and Real Time Applications [DS-RT];70;"informatyka techniczna i telekomunikacja;
informatyka;"
492;IEEE International Symposium on High Assurance Systems Engineering [HASE];70;"informatyka techniczna i telekomunikacja;
informatyka;"
493;IEEE International Symposium on Information Theory [ISIT];70;"informatyka techniczna i telekomunikacja;
informatyka;"
494;IEEE International Symposium on Intelligent Control [ISIC];70;"informatyka techniczna i telekomunikacja;
informatyka;"
495;IEEE International Symposium on Multimedia [ISM];20;"informatyka techniczna i telekomunikacja;
informatyka;"
496;IEEE International Symposium on Network Computing and Applications [NCA];140;"informatyka techniczna i telekomunikacja;
informatyka;"
497;"IEEE International Symposium on Real-Time Distributed Computing [ISORC]
(IEEE International Symposium on Object-Oriented Real-Time Distributed Computing [ISORC])";20;"informatyka techniczna i telekomunikacja;
informatyka;"
498;IEEE International Symposium on Parallel and Distributed Processing with Applications [ISPA];70;"informatyka techniczna i telekomunikacja;
informatyka;"
499;IEEE International Symposium on Performance Analysis of Systems and Software [ISPASS];70;"informatyka techniczna i telekomunikacja;
informatyka;"
500;IEEE International Symposium on Personal and Indoor Mobile Radio Conference [PIMRC];70;"informatyka techniczna i telekomunikacja;
informatyka;"
501;IEEE International Symposium on Security in Networks and Distributed Systems [SSNDS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
502;"IEEE International Symposium on Wearable Computers [ISWC]
(IEEE International Symposium on Wearable Computing [ISWC])";200;"informatyka techniczna i telekomunikacja;
informatyka;"
503;IEEE International Symposium on Web Systems Evolution [WSE];20;"informatyka techniczna i telekomunikacja;
informatyka;"
504;IEEE International Test Conference [ITC];70;"informatyka techniczna i telekomunikacja;
informatyka;"
505;IEEE International Working Conference on Mining Software Repositories [MSR];140;"informatyka techniczna i telekomunikacja;
informatyka;"
506;IEEE International Workshop on Cellular Nanoscale Networks and Applications [CNNA];20;"informatyka techniczna i telekomunikacja;
informatyka;"
507;IEEE International Workshop on Databases for Next-Generation Researchers [SWOD];20;"informatyka techniczna i telekomunikacja;
informatyka;"
508;IEEE International Workshop on Future Trends of Distributed Computing Systems [FTDCS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
509;IEEE International Workshop on Neural Networks for Signal Processing [NNSP];20;"informatyka techniczna i telekomunikacja;
informatyka;"
510;IEEE International Workshop on Object-Oriented Real-Time Dependable Systems [WORDS];70;"informatyka techniczna i telekomunikacja;
informatyka;"
511;IEEE International Workshop on Quality of Service [IWQoS];70;"informatyka techniczna i telekomunikacja;
informatyka;"
512;IEEE International Workshop on Source Code Analysis and Manipulation [SCAM];20;"informatyka techniczna i telekomunikacja;
informatyka;"
513;IEEE International Working Conference on Software Visualisation [VISSOFT];70;"informatyka techniczna i telekomunikacja;
informatyka;"
514;IEEE Network Operations and Management Symposium [NOMS];70;"informatyka techniczna i telekomunikacja;
informatyka;"
515;IEEE Pacific Visualization Symposium (was APVIS) [PacificVis];70;"informatyka techniczna i telekomunikacja;
informatyka;"
516;IEEE Real-Time and Embedded Technology and Applications Symposium [RTAS];140;"informatyka techniczna i telekomunikacja;
informatyka;"
517;IEEE Software Engineering Workshop [SEW];20;"informatyka techniczna i telekomunikacja;
informatyka;"
518;IEEE Swarm Intelligence Symposium [IEEE SIS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
519;IEEE Symposium on 3D User Interfaces [3DUI];70;"informatyka techniczna i telekomunikacja;
informatyka;"
520;IEEE Symposium on Advanced Management of Information for Globalized Enterprises [AMIGE];20;"informatyka techniczna i telekomunikacja;
informatyka;"
521;IEEE Symposium on Computational Intelligence and Data Mining [CIDM];20;"informatyka techniczna i telekomunikacja;
informatyka;"
522;"Conference on Games [COG]
(IEEE Symposium on Computational Intelligence and Games [CIG])";20;"informatyka techniczna i telekomunikacja;
informatyka;"
523;IEEE Symposium on Computational Intelligence for Financial Engineering [IEEE CIFEr];20;"informatyka techniczna i telekomunikacja;
informatyka;"
524;IEEE Symposium on Computational intelligence for Image Processing [IEEE CIIP];20;"informatyka techniczna i telekomunikacja;
informatyka;"
525;IEEE Symposium on Computational intelligence for Multimedia Signal and Vision Processing [IEEE CIMSIVP];20;"informatyka techniczna i telekomunikacja;
informatyka;"
526;IEEE Symposium on Computational Intelligence for Security and Defence Applications [IEEE CISDA];20;"informatyka techniczna i telekomunikacja;
informatyka;"
527;IEEE Symposium on Computational Intelligence in Bioinformatics and Computational Biology [CIBCB];20;"informatyka techniczna i telekomunikacja;
informatyka;"
528;IEEE Symposium on Computational Intelligence in Control and Automation [IEEE CICA];20;"informatyka techniczna i telekomunikacja;
informatyka;"
529;IEEE Symposium on Computational Intelligence in Cyber Security [IEEE CICS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
530;IEEE Symposium on Computational Intelligence in Image and Signal Processing [CIISP];20;"informatyka techniczna i telekomunikacja;
informatyka;"
531;IEEE Symposium on Computational Intelligence in Multi-Criteria Decision-Making [IEEE MCDM];20;"informatyka techniczna i telekomunikacja;
informatyka;"
532;IEEE Symposium on Computational Intelligence in Scheduling [IEEE CI-Sched];20;"informatyka techniczna i telekomunikacja;
informatyka;"
533;IEEE Symposium on Computer Arithmetic [ARITH];20;"informatyka techniczna i telekomunikacja;
informatyka;"
534;IEEE Symposium on Computers and Communications [ISCC];70;"informatyka techniczna i telekomunikacja;
informatyka;"
535;IEEE Symposium on Foundations of Computer Science [FOCS];200;"informatyka techniczna i telekomunikacja;
informatyka;"
536;IEEE Symposium on High-Performance Interconnects [HOTI];70;"informatyka techniczna i telekomunikacja;
informatyka;"
537;IEEE Symposium on Intelligent Agents [IEEE IA];20;"informatyka techniczna i telekomunikacja;
informatyka;"
538;IEEE Symposium on Logic in Computer Science [LICS];200;"informatyka techniczna i telekomunikacja;
informatyka;"
539;"IEEE International Symposium on Rapid System Prototyping [RSP]
(IEEE Symposium on Rapid Prototyping [RSP])";20;"informatyka techniczna i telekomunikacja;
informatyka;"
540;IEEE Symposium on Security and Privacy [SP];200;"informatyka techniczna i telekomunikacja;
informatyka;"
541;IEEE Symposium on Visual Analytics Science and Technology [IEEE VAST];20;"informatyka techniczna i telekomunikacja;
informatyka;"
542;IEEE Symposium on Visual Languages and Human-Centric Computing (was VL) [VL/HCC];70;"informatyka techniczna i telekomunikacja;
informatyka;"
543;IEEE Systems and Information Engineering Design Symposium [SIEDS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
544;IEEE Tencon (IEEE Region 10 Conference) [Tencon];20;"informatyka techniczna i telekomunikacja;
informatyka;"
545;IEEE Vehicular Technology Conference [VTC];70;"informatyka techniczna i telekomunikacja;
informatyka;"
546;"IEEE Conference on Virtual Reality and 3D User Interfaces [VR]
(IEEE Virtual Reality Conference [VR])";140;"informatyka techniczna i telekomunikacja;
informatyka;"
547;IEEE Visualization [IEEE VIS];140;"informatyka techniczna i telekomunikacja;
informatyka;"
548;IEEE Wireless Communications and Networking Conference [WCNC];70;"informatyka techniczna i telekomunikacja;
informatyka;"
549;IEEE Working Conference on Reverse Engineering [WCRE];70;"informatyka techniczna i telekomunikacja;
informatyka;"
550;IEEE Workshop on Advances in Techniques for Analysis of Remotely Sensed Data [WARDS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
551;IEEE Workshop on Applications of Computer Vision [WACV];140;"informatyka techniczna i telekomunikacja;
informatyka;"
552;IEEE Workshop on Computational Intelligence for Visual Intelligence [IEEE CIVI];20;"informatyka techniczna i telekomunikacja;
informatyka;"
553;IEEE Workshop on Computational Intelligence in Aerospace Applications [IEEE CIAA];20;"informatyka techniczna i telekomunikacja;
informatyka;"
554;IEEE Workshop on Computational Intelligence in Biometrics: Theory, Algorithms, and Applications [IEEE CIB];20;"informatyka techniczna i telekomunikacja;
informatyka;"
555;IEEE Workshop on Computational Intelligence in Vehicles and Vehicular Systems [IEEE CIWS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
556;IEEE Workshop on Computational Intelligence in Virtual Environments [IEEE CIVE];20;"informatyka techniczna i telekomunikacja;
informatyka;"
557;IEEE Workshop on Evolvable and Adaptive Hardware [IEEE WEAH];20;"informatyka techniczna i telekomunikacja;
informatyka;"
558;IEEE Workshop on Evolving and Self-Developing Intelligent Systems [IEEE ESDIS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
559;IEEE Workshop on High Performance Switching and Routing [HPSR];20;"informatyka techniczna i telekomunikacja;
informatyka;"
560;IEEE Workshop on Hot Topics in Web Systems and Technologies [HotWeb];70;"informatyka techniczna i telekomunikacja;
informatyka;"
561;IEEE Workshop on Hybrid Intelligent Models and Applications [IEEE HIMA];20;"informatyka techniczna i telekomunikacja;
informatyka;"
562;IEEE Workshop on Memetic Algorithms [IEEE WOMA];20;"informatyka techniczna i telekomunikacja;
informatyka;"
563;IEEE Workshop on Organic Computing [IEEE OC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
564;IEEE Workshop on Robotic Intelligence in Informationally Structured Space [IEEE RiiSS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
565;IEEE Workshop on Speech Coding [SCW];20;"informatyka techniczna i telekomunikacja;
informatyka;"
566;IEEE/ACIS International Conference on Computer and Information Science [ICIS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
567;IEEE/ACM International Conference on Computer-Aided Design [ICCAD];140;"informatyka techniczna i telekomunikacja;
informatyka;"
568;IEEE/ACM International Conference on Grid Computing [GRID];140;"informatyka techniczna i telekomunikacja;
informatyka;"
569;IEEE/ACM International Symposium on Mixed and Augmented Reality [ISMAR];200;"informatyka techniczna i telekomunikacja;
informatyka;"
570;"IEEE/IFIP International Conference on Dependable Systems and Networks [DSN]
(IEEE/IFIP International Conference on Dependable Systems [DSN])";140;"informatyka techniczna i telekomunikacja;
informatyka;"
571;IEEE/IFIP International Conference on Embedded and Ubiquitous Computing [EUC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
572;IEEE/IFIP International Conference on Information Technology for Balanced Automation Systems [BASYS];70;"informatyka techniczna i telekomunikacja;
informatyka;"
573;"International Conference on Trust, Security and Privacy in Computing and Communications [TrustCom]
(IEEE/IFIP International Symposium on Trusted Computing and Communications [TrustCom])";140;"informatyka techniczna i telekomunikacja;
informatyka;"
574;International Conference on Software Architecture (was previously WICSA) [ICSA];20;"informatyka techniczna i telekomunikacja;
informatyka;"
575;IEEE/RSJ International Conference on Intelligent Robots and Systems [IROS];140;"informatyka techniczna i telekomunikacja;
informatyka;"
576;IEEE/WIC/ACM International Joint Conferences on Web Inteligence and Intelligent Agent Technology [WI-IAT];70;"informatyka techniczna i telekomunikacja;
informatyka;"
577;"IFAC Symposium on Systems Structure and Control [SSSC]
(IFAC Conference on System Structure and Control [SSC])";20;"informatyka techniczna i telekomunikacja;
informatyka;"
578;IFAC Symposium on Fault Detection, Supervision and Safety of Technical Processes [SAFEProcess];20;"informatyka techniczna i telekomunikacja;
informatyka;"
579;IFIP Conference on Biologically Inspired Collaborative Computing [BICC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
580;IFIP Congress (Information Processing) [Information Processing];20;"informatyka techniczna i telekomunikacja;
informatyka;"
581;IFIP International Conference on Broadband Communications [BC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
582;IFIP International Conference on Distributed Applications and Interoperable Systems [DAIS];70;"informatyka techniczna i telekomunikacja;
informatyka;"
583;IFIP International Conference on Open Distributed Processing [ODP];70;"informatyka techniczna i telekomunikacja;
informatyka;"
584;IFIP International Conference on Theoretical Computer Science [IFIP TCS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
585;IFIP Information Security & Privacy Conference [IFIP SEC];70;"informatyka techniczna i telekomunikacja;
informatyka;"
586;IFIP Joint International Conference on Formal Description Techniques and Protocol Specification, Testing, And Verification [FORTE];70;"informatyka techniczna i telekomunikacja;
informatyka;"
587;"IFIP International Conference on Networking [Networking]
(IFIP Networking 200X [Networking 200X])";140;"informatyka techniczna i telekomunikacja;
informatyka;"
588;IFIP TC13 Conference on Human-Computer Interaction [Interact];140;"informatyka techniczna i telekomunikacja;
informatyka;"
589;IFIP Working Conference on Visual Database Systems [VDbS];70;"informatyka techniczna i telekomunikacja;
informatyka;"
590;IFIP Working Conferences on Virtual Enterprises [PRO-VE];20;"informatyka techniczna i telekomunikacja;
informatyka;"
591;IFIP?International Conference on Network and Parallel Computing [NPC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
592;IFIP/ACM Working Conference on Component Deployment [CD];70;"informatyka techniczna i telekomunikacja;
informatyka;"
593;IFIP/IEEE International Symposium on Integrated Management [IM];140;"informatyka techniczna i telekomunikacja;
informatyka;"
594;International Conference on Network and Service Management (amalgamation of DSOM and related workshops from 2010) [CNSM];70;"informatyka techniczna i telekomunikacja;
informatyka;"
595;IFSA World Congress [IFSA];70;"informatyka techniczna i telekomunikacja;
informatyka;"
596;IMA International Conference on Cryptography and Coding [IMACC];70;"informatyka techniczna i telekomunikacja;
informatyka;"
597;Image and Vision Computing Conference [IVCNZ];70;"informatyka techniczna i telekomunikacja;
informatyka;"
598;Inductive Logic Programming [ILP];70;"informatyka techniczna i telekomunikacja;
informatyka;"
599;Industrial Simulation Conference [ISC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
600;Informatics Education Europe [IEE];20;"informatyka techniczna i telekomunikacja;
informatyka;"
601;Information Integration and Web-based Applications and Services [IIWAS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
602;Information Processing in Sensor Networks [IPSN];200;"informatyka techniczna i telekomunikacja;
informatyka;"
603;Information Security Practice and Experience Conference [ISPEC];70;"informatyka techniczna i telekomunikacja;
informatyka;"
604;Information Security Symposium [CERIAS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
605;Information Security Conference [ISC];70;"informatyka techniczna i telekomunikacja;
informatyka;"
606;Information Systems Education Conference [ISECON];70;"informatyka techniczna i telekomunikacja;
informatyka;"
607;Information Theory Workshop [ITW];70;"informatyka techniczna i telekomunikacja;
informatyka;"
608;Information Visualisation Theory and Practice [InfVis];20;"informatyka techniczna i telekomunikacja;
informatyka;"
609;Information Visualization Evaluation [IVE];20;"informatyka techniczna i telekomunikacja;
informatyka;"
610;Information Visualization in Biomedical Informatics [IVBI];20;"informatyka techniczna i telekomunikacja;
informatyka;"
611;Informing Science and Information Technology Education [InSITE];20;"informatyka techniczna i telekomunikacja;
informatyka;"
612;Innovative Applications in AI [IAAI];70;"informatyka techniczna i telekomunikacja;
informatyka;"
613;International Conference on Innovations for Community Services [I4CS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
614;Institute for Small Business and Entrepreneurship Annual Conference [ISBE];20;"informatyka techniczna i telekomunikacja;
informatyka;"
615;Int. Workshop on Formal Methods for Industrial Critical Systems [FMICS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
616;Int. Workshop on Multi-Media Data Base Management Systems [IW-MMDBMS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
617;Integrated Data Environments Australia Workshop [IDEAW];20;"informatyka techniczna i telekomunikacja;
informatyka;"
618;Integrated Formal Methods [IFM];70;"informatyka techniczna i telekomunikacja;
informatyka;"
619;Integration of Software Engineering and Agent Technology [ISEAT];70;"informatyka techniczna i telekomunikacja;
informatyka;"
620;Intelligence Tools, Data Mining, Visualization [IDV];20;"informatyka techniczna i telekomunikacja;
informatyka;"
621;Intelligent Data Analysis [IDA];140;"informatyka techniczna i telekomunikacja;
informatyka;"
622;Intelligent Systems in Molecular Biology [ISMB];140;"informatyka techniczna i telekomunikacja;
informatyka;"
623;Intelligent Virtual Agents [IVA];70;"informatyka techniczna i telekomunikacja;
informatyka;"
624;Interaction [Interaction];20;"informatyka techniczna i telekomunikacja;
informatyka;"
625;Interactive Entertainment [IE];70;"informatyka techniczna i telekomunikacja;
informatyka;"
626;International and Interdisciplinary Conference on Modelling and Using Context [CONTEXT];20;"informatyka techniczna i telekomunikacja;
informatyka;"
627;International Atlantic Web Intelligence Conference [AWIC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
628;International Baltic Conference on Databases and Information Systems [DB&IS];70;"informatyka techniczna i telekomunikacja;
informatyka;"
629;International Business Information Management [IBIMA];70;"informatyka techniczna i telekomunikacja;
informatyka;"
630;International Cognitive Robotics Conference [COGROBO];70;"informatyka techniczna i telekomunikacja;
informatyka;"
631;International Colloquium on Automata Languages and Programming [ICALP];140;"informatyka techniczna i telekomunikacja;
informatyka;"
632;International Colloquium on Data Sciences, Knowledge Discovery and Business Intelligence [DSKDB];20;"informatyka techniczna i telekomunikacja;
informatyka;"
633;International Colloquium on Structural Information and Communication Complexity [SIROCCO];70;"informatyka techniczna i telekomunikacja;
informatyka;"
634;International Colloquium on Theoretical Aspects of Computing [ICTAC];70;"informatyka techniczna i telekomunikacja;
informatyka;"
635;International Computer Science Conference [ICSC];70;"informatyka techniczna i telekomunikacja;
informatyka;"
636;International Computer Science Symposium in Russia [CSR];20;"informatyka techniczna i telekomunikacja;
informatyka;"
637;International Computer Software and Applications Conference [COMPSAC];70;"informatyka techniczna i telekomunikacja;
informatyka;"
638;International Computing Education Research Workshop [ICER];70;"informatyka techniczna i telekomunikacja;
informatyka;"
639;International Conference and Exhibition on High Performance Computing in the Asia-Pacific Region [HPC Asia];70;"informatyka techniczna i telekomunikacja;
informatyka;"
640;International Conference Computer Graphics, Imaging and Visualization [CGIV];20;"informatyka techniczna i telekomunikacja;
informatyka;"
641;International Conference Formal Concept Analysis Conference [ICFCA];20;"informatyka techniczna i telekomunikacja;
informatyka;"
642;International Conference Imaging Science, Systems and Technology [CISST];20;"informatyka techniczna i telekomunikacja;
informatyka;"
643;International Conference in Business Process Management [BPM];140;"informatyka techniczna i telekomunikacja;
informatyka;"
644;International Conference of Society for Group Decision and Negotiation [GDN];70;"informatyka techniczna i telekomunikacja;
informatyka;"
645;International Conference Abstract State Machines, Alloy, B, TLA, VDM, and Z [ABZ];20;"informatyka techniczna i telekomunikacja;
informatyka;"
646;International Conference on 3G Mobile Communication Technologies [3G];20;"informatyka techniczna i telekomunikacja;
informatyka;"
