LP.;Nazwa konferencji;Liczba punktów;Przypisane dyscypliny naukowe
52;"Asia Conference on Information, Computer and Communications Security [AsiaCCS]
(ACM Symposium on Information, Computer and Communications Security [AsiaCCS])";70;"informatyka techniczna i telekomunikacja;
informatyka;"
53;ACM Symposium on Principles of Database Systems [SPDS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
54;ACM Symposium on Principles of Distributed Computing [PODC];200;"informatyka techniczna i telekomunikacja;
informatyka;"
55;ACM Symposium on Solid and Physical Modelling [SPM];70;"informatyka techniczna i telekomunikacja;
informatyka;"
56;ACM Symposium on Theory of Computing [STOC];200;"informatyka techniczna i telekomunikacja;
informatyka;"
57;ACM Symposium on User Interface Software and Technology [UIST];140;"informatyka techniczna i telekomunikacja;
informatyka;"
58;ACM Virtual Reality Software and Technology [VRST];140;"informatyka techniczna i telekomunikacja;
informatyka;"
59;ACM Workshop on Formal Methods in Security Engineering: From Specifications to Code [FMSE];20;"informatyka techniczna i telekomunikacja;
informatyka;"
60;ACM Workshop on Hot Topics in Networks [HOTNETS];140;"informatyka techniczna i telekomunikacja;
informatyka;"
61;ACM Workshop on Hot Topics in Software Upgrades [HotSWUp];20;"informatyka techniczna i telekomunikacja;
informatyka;"
62;ACM Workshop on Scalable Trusted Computing [STC];70;"informatyka techniczna i telekomunikacja;
informatyka;"
63;ACM Workshop on Secure Web Services [SWS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
64;ACM Workshop on Web Information and Data Management [WIDM];70;"informatyka techniczna i telekomunikacja;
informatyka;"
65;ACM/IEEE International Conference on Distributed Smart Cameras [ICDSC];70;"informatyka techniczna i telekomunikacja;
informatyka;"
66;ACM/IEEE International Conference on Modelling, Analysis and Simulation of Wireless and Mobile Systems [MSWIM];140;"informatyka techniczna i telekomunikacja;
informatyka;"
67;"International Conference for High Performance Computing, Networking, Storage and Analysis [SC]
(ACM/IEEE Supercomputing Conference [SC])";140;"informatyka techniczna i telekomunikacja;
informatyka;"
68;"ACM SIGSIM Conference on Principles of Advanced Discrete Simulation [PADS]
(ACM/IEEE/SCS Workshop on Parallel and Distributed Simulation [PADS])";70;"informatyka techniczna i telekomunikacja;
informatyka;"
69;ACM/IFIP/USENIX International Middleware Conference [Middleware];140;"informatyka techniczna i telekomunikacja;
informatyka;"
70;ACM/SIAM Symposium on Discrete Algorithms [SODA];200;"informatyka techniczna i telekomunikacja;
informatyka;"
71;ACM/SPIE Multimedia Computing and Networking [MMCN];140;"informatyka techniczna i telekomunikacja;
informatyka;"
72;ACM-SIGACT Symposium on Principles of Programming Languages [POPL];200;"informatyka techniczna i telekomunikacja;
informatyka;"
73;ACM-SIGMIS CPR Conference [ACM-SIGMIS CPR];70;"informatyka techniczna i telekomunikacja;
informatyka;"
74;ACM-SIGPLAN Conference on Programming Language Design and Implementation [PLDI];200;"informatyka techniczna i telekomunikacja;
informatyka;"
75;"ACM-SIGRAPH Interactive 3D Graphics and Games [I3DG]
(ACM-SIGRAPH Interactive 3D Graphics [I3DG])";70;"informatyka techniczna i telekomunikacja;
informatyka;"
76;ACS/IEEE International Conference on Computer Systems and Applications [AICCSA];20;"informatyka techniczna i telekomunikacja;
informatyka;"
77;Active and Real-Time Database Systems [ARTDB];20;"informatyka techniczna i telekomunikacja;
informatyka;"
78;Advanced Concepts for Intelligent Vision Systems [ACIVS];70;"informatyka techniczna i telekomunikacja;
informatyka;"
79;Advanced Course on Artificial Intelligence [ACAI];20;"informatyka techniczna i telekomunikacja;
informatyka;"
80;Advanced Research in VLSI [ARVLSI];20;"informatyka techniczna i telekomunikacja;
informatyka;"
81;IEEE International Conference on Advanced Video and Signal Based Surveillance [AVSS];70;"informatyka techniczna i telekomunikacja;
informatyka;"
82;Advanced Visual Interfaces [AVI];70;"informatyka techniczna i telekomunikacja;
informatyka;"
83;Advances in Cryptology [CRYPTO];200;"informatyka techniczna i telekomunikacja;
informatyka;"
84;Advances in Information Systems [ADVIS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
85;Advances in Intelligent Systems [AIS];20;"informatyka techniczna i telekomunikacja;
informatyka;"
86;Advances in Modal Logic [AiML];140;"informatyka techniczna i telekomunikacja;
informatyka;"
87;"Advances in Neural Information Processing Systems [NeurIPS]
(Advances in Neural Information Processing Systems [NIPS])";200;"informatyka techniczna i telekomunikacja;
informatyka;"
88;Advances in the Theory of Computing [AITC];20;"informatyka techniczna i telekomunikacja;
informatyka;"
89;Algebraic Methodology and Software Technology [AMAST];20;"informatyka techniczna i telekomunikacja;
informatyka;"
90;Algorithmic Learning Theory [ALT];70;"informatyka techniczna i telekomunikacja;
informatyka;"
91;Algorithms and Complexity in Durham [ACID];20;"informatyka techniczna i telekomunikacja;
informatyka;"
92;Algorithms and Data Structures Symposium (was Workshop on Algorithms and Data Structures) [WADS];70;"informatyka techniczna i telekomunikacja;
informatyka;"
93;Ambient Intelligence Developments [Aml.d];20;"informatyka techniczna i telekomunikacja;
informatyka;"
94;American Federation of Information Processing Societies [AFIPS];140;"informatyka techniczna i telekomunikacja;
informatyka;"
95;Americas Conference on Information Systems [AMCIS];140;"informatyka techniczna i telekomunikacja;
informatyka;"
96;Annual Computer Security Applications Conference [ACSAC];140;"informatyka techniczna i telekomunikacja;
informatyka;"
97;Annual Conference of the Australasian Society for Computers in Learning in Tertiary Education [ASCILITE];20;"informatyka techniczna i telekomunikacja;
informatyka;"
98;Annual Conference of the Cognitive Science Society [CogSci];140;"informatyka techniczna i telekomunikacja;
informatyka;"
99;Annual Conference of the International Academy for Information Management [IAIM];20;"informatyka techniczna i telekomunikacja;
informatyka;"
